Entity,Code,Year,Population (historical estimates)
Vietnam,VNM,2002,81534406
Kazakhstan,KAZ,1905,4373640
Eritrea,ERI,2015,3342818
Haiti,HTI,1915,2030100
Falkland Islands,FLK,1940,2256
Yemen,YEM,1848,2728556
Bhutan,BTN,1828,376897
Croatia,HRV,1938,3473710
Solomon Islands,SLB,1915,127002
Gabon,GAB,1823,168608
Greenland,GRL,2000,56177
United Kingdom,GBR,1845,26962189
Nicaragua,NIC,1990,4173435
Palestine,PSE,1866,192800
Kuwait,KWT,1918,112356
Saint Helena,SHN,2019,6061
Oman,OMN,1985,1498413
Kazakhstan,KAZ,1858,2882573
Togo,TGO,1934,1074573
Sudan,SDN,1984,16657955
Africa,NA,1952,237096560
Austria,AUT,1937,6707055
Hungary,HUN,2009,9959439
Equatorial Guinea,GNQ,1827,86185
Kuwait,KWT,1814,81280
Iran,IRN,1841,7204813
Mozambique,MOZ,1916,3801847
Dominica,DMA,1825,20444
Papua New Guinea,PNG,1923,711239
Africa,NA,1988,596849006
El Salvador,SLV,1949,2151989
Dominica,DMA,1867,26307
Bolivia,BOL,1855,1413949
Cameroon,CMR,1924,2956145
Sri Lanka,LKA,1881,3128374
Colombia,COL,1872,2498474
Lesotho,LSO,1920,389867
Papua New Guinea,PNG,1812,754894
Afghanistan,AFG,1880,4354370
Jordan,JOR,1832,247044
Nauru,NRU,1943,3097
Congo,COG,1987,2171319
Uruguay,URY,1963,2635125
Yemen,YEM,1892,2898950
United Kingdom,GBR,1867,30699668
Hungary,HUN,1886,6461841
Malawi,MWI,1846,1978029
Nicaragua,NIC,2019,6545503
Nigeria,NGA,1884,16770647
Senegal,SEN,1934,1904705
Macao,MAC,1999,418388
Iraq,IRQ,1915,3182469
Barbados,BRB,1948,207345
Guam,GUM,1980,104134
North Korea,PRK,2012,24800638
Hong Kong,HKG,2005,6769579
Oceania,NA,1955,14392690
Libya,LBY,1861,303705
Greece,GRC,1910,5367935
Czechia,CZE,1946,9523000
Europe,NA,1885,359976492
Mayotte,MYT,2009,202494
Ukraine,UKR,1801,11215490
Azerbaijan,AZE,1882,1551904
Slovakia,SVK,1944,3339625
Austria,AUT,1824,3435691
Dominican Republic,DOM,1839,121801
Spain,ESP,1993,39533726
Indonesia,IDN,1909,42353629
Qatar,QAT,2020,2881060
India,IND,2000,1056575548
Qatar,QAT,1842,14092
Estonia,EST,1955,1159233
Comoros,COM,1886,76496
Andorra,AND,1835,2950
Panama,PAN,1992,2575949
Iceland,ISL,1829,59395
United Kingdom,GBR,1837,25937687
Philippines,PHL,1934,12666041
Liechtenstein,LIE,1992,29552
Uruguay,URY,1918,1331658
Cayman Islands,CYM,1991,26540
El Salvador,SLV,1993,5490478
Mexico,MEX,1965,44123863
Serbia,SRB,2016,8853963
Vietnam,VNM,1811,5250013
Slovakia,SVK,1996,5384792
Grenada,GRD,1974,93190
Dominica,DMA,1915,35066
South Korea,KOR,1996,45751023
Tanzania,TZA,2008,41853944
Malawi,MWI,1860,2150641
Bulgaria,BGR,1973,8655707
Slovenia,SVN,2004,1990226
Honduras,HND,1936,1144519
Northern Mariana Islands,MNP,1998,52999
Poland,POL,1871,17017361
Chad,TCD,1953,2636247
Kenya,KEN,1837,3130268
Bolivia,BOL,1916,2212442
Saudi Arabia,SAU,1826,2119215
Georgia,GEO,1922,2718739
Africa,NA,1976,426144455
Timor,TLS,1896,320392
Nicaragua,NIC,1917,720851
South Korea,KOR,1899,9369454
French Guiana,GUF,2005,202973
Zimbabwe,ZWE,2007,12255920
Malta,MLT,1836,147464
Botswana,BWA,1966,571957
Nauru,NRU,2007,9846
Mauritania,MRT,1997,2433567
Egypt,EGY,1931,13954229
Oman,OMN,1821,318912
Gabon,GAB,1956,486640
Falkland Islands,FLK,1994,2384
Australia,AUS,1998,18587027
Denmark,DNK,1801,1007231
Saint Vincent and the Grenadines,VCT,2021,111269
Eswatini,SWZ,1910,128290
Bolivia,BOL,1835,1229458
Venezuela,VEN,1850,1326378
Finland,FIN,1992,5044928
Latvia,LVA,1822,610273
Africa,NA,1858,115941807
Peru,PER,1950,7777452
Nicaragua,NIC,1890,470335
Qatar,QAT,1937,21684
Gambia,GMB,1905,172619
Syria,SYR,1985,10648633
Algeria,DZA,1822,2698723
Gambia,GMB,2012,1905020
Liberia,LBR,1985,2145756
Gabon,GAB,1950,473296
Saint Lucia,LCA,1917,53546
Monaco,MCO,1980,26752
Haiti,HTI,1813,635663
Lesotho,LSO,1848,183222
Tanzania,TZA,1938,6186329
Saint Lucia,LCA,1891,44099
Ethiopia,ETH,1839,15785944
Australia,AUS,2012,22903951
Mauritius,MUS,1837,107952
Eritrea,ERI,1838,429283
Sierra Leone,SLE,1956,2193620
Belgium,BEL,1877,5400897
Tuvalu,TUV,1840,2752
New Caledonia,NCL,1940,63203
Samoa,WSM,1980,155522
Indonesia,IDN,1900,38169857
Israel,ISR,1812,209954
Guinea,GIN,1927,2085752
Vatican,VAT,1851,905
Libya,LBY,1933,786598
Slovenia,SVN,1956,1539788
Senegal,SEN,1959,3121093
Bangladesh,BGD,1884,24602634
Australia,AUS,1916,4869131
Sint Maarten (Dutch part),SXM,1996,31434
Somalia,SOM,1835,1215018
Samoa,WSM,1831,47051
Pakistan,PAK,1929,25488344
Malaysia,MYS,1961,8417821
Bulgaria,BGR,1873,2700370
El Salvador,SLV,1970,3673066
Saudi Arabia,SAU,1980,9691471
North America,NA,1886,82787413
Samoa,WSM,1998,172839
Zimbabwe,ZWE,2017,14236599
Kiribati,KIR,1958,39241
Isle of Man,IMN,2000,76942
Ghana,GHA,2009,24170943
Romania,ROU,1878,9597886
Turkey,TUR,1878,12404551
Armenia,ARM,1889,769380
South Africa,ZAF,1860,3372214
Iceland,ISL,1943,126633
Colombia,COL,1990,33102569
Morocco,MAR,1826,2719934
Ghana,GHA,1884,2384945
North Macedonia,MKD,1922,980142
Egypt,EGY,1902,9955444
Yemen,YEM,1970,6193379
Saint Vincent and the Grenadines,VCT,1834,27671
New Zealand,NZL,1959,2323404
Nicaragua,NIC,2005,5438692
Syria,SYR,1859,1518228
Seychelles,SYC,1966,47866
New Zealand,NZL,1979,3135301
Syria,SYR,1997,15175308
Haiti,HTI,1910,1869956
Bulgaria,BGR,1833,2317556
Italy,ITA,1922,37638491
Kuwait,KWT,1887,90827
Nicaragua,NIC,1947,1188697
Marshall Islands,MHL,2017,58053
Trinidad and Tobago,TTO,1897,255648
Bosnia and Herzegovina,BIH,1894,1633459
Qatar,QAT,1988,443611
Africa,NA,2010,1039304030
Thailand,THA,1881,6334777
Chad,TCD,1903,1767944
Timor,TLS,1825,146610
Micronesia (country),FSM,1966,54192
Romania,ROU,1969,20305348
Switzerland,CHE,1944,4375491
United States,USA,2003,289815567
Canada,CAN,1938,11149930
Indonesia,IDN,1923,49031170
Oman,OMN,1961,564891
Equatorial Guinea,GNQ,1800,80377
Switzerland,CHE,1927,3968759
Belize,BLZ,1875,26300
Senegal,SEN,1803,1009886
Hungary,HUN,1892,6704740
Seychelles,SYC,1884,16384
Spain,ESP,1984,38586704
Myanmar,MMR,1889,6603162
Palestine,PSE,1851,170395
Palestine,PSE,1997,2872006
South Africa,ZAF,1819,1574220
South Sudan,SSD,2006,7907407
Benin,BEN,1945,2067124
Saudi Arabia,SAU,1918,2312973
Mauritius,MUS,1944,448814
France,FRA,1970,50763921
Eswatini,SWZ,1940,224911
Ukraine,UKR,1842,13712995
Bangladesh,BGD,1971,65531635
Togo,TGO,1829,463368
Gambia,GMB,1967,426622
Nepal,NPL,1926,5403372
Brazil,BRA,1870,9841009
Saint Vincent and the Grenadines,VCT,1969,89565
Micronesia (country),FSM,1944,30601
Fiji,FJI,1905,128841
Italy,ITA,1852,24768837
Honduras,HND,1869,406709
Niue,NIU,1952,4692
Guyana,GUY,2000,746718
Nigeria,NGA,1966,51217969
Dominica,DMA,1975,72088
Norway,NOR,1935,2889012
Fiji,FJI,1979,621584
Uganda,UGA,1858,3054187
India,IND,1873,257018683
South America,NA,1807,9624367
Solomon Islands,SLB,1866,89883
French Guiana,GUF,2020,298682
United States,USA,1828,12522641
Qatar,QAT,1950,25006
Algeria,DZA,1900,4664019
Tanzania,TZA,1871,5343240
Lesotho,LSO,1898,280420
Georgia,GEO,1842,1310934
Montenegro,MNE,1989,615205
Belgium,BEL,1856,4620989
Zambia,ZMB,1860,1597157
Denmark,DNK,1946,4096640
Sweden,SWE,1967,7875902
Vanuatu,VUT,1983,124213
Czechia,CZE,1895,9013144
Poland,POL,1943,27748908
Austria,AUT,2010,8409945
Palestine,PSE,1812,165944
Kyrgyzstan,KGZ,1813,530343
Liechtenstein,LIE,1964,18170
Haiti,HTI,1867,1125826
Cote d'Ivoire,CIV,1894,1398413
Argentina,ARG,2012,41755188
Greece,GRC,1935,6869288
Turkey,TUR,1999,62287391
Morocco,MAR,1978,19059773
Dominican Republic,DOM,1965,3877768
Gambia,GMB,1892,156608
Poland,POL,2003,38441821
Iraq,IRQ,1999,22802061
North Macedonia,MKD,1870,611595
Turkmenistan,TKM,2013,5366376
Guinea-Bissau,GNB,1985,872163
Togo,TGO,1859,538234
United States,USA,1933,131426486
Portugal,PRT,1810,3011352
Dominican Republic,DOM,1805,131649
Ethiopia,ETH,1886,18141098
Libya,LBY,1842,259999
Ireland,IRL,1825,7455874
Estonia,EST,1995,1433026
Iraq,IRQ,1816,1073754
Iraq,IRQ,1835,1168890
Antigua and Barbuda,ATG,2003,79311
Bahrain,BHR,1977,303169
Germany,DEU,1985,77691591
Saint Pierre and Miquelon,SPM,2007,6220
Togo,TGO,1840,485526
Democratic Republic of Congo,COD,1880,9469459
Andorra,AND,2021,77354
Guadeloupe,GLP,1974,327426
Spain,ESP,1918,20951509
Channel Islands,OWID_CIS,1952,103664
French Polynesia,PYF,1977,139893
Myanmar,MMR,2001,47225119
South Africa,ZAF,1921,7630649
Rwanda,RWA,1831,1111272
Hungary,HUN,1900,7106099
Mauritania,MRT,1965,985907
Eritrea,ERI,1936,683180
Serbia,SRB,1871,1942466
Romania,ROU,1833,7043287
Netherlands,NLD,1988,14774031
Turkey,TUR,1918,14176980
Finland,FIN,1890,2358017
Guyana,GUY,2001,745206
Pakistan,PAK,1876,16287801
Chile,CHL,1850,1409141
Sierra Leone,SLE,1813,794264
Ecuador,ECU,1931,2060706
Chad,TCD,1822,1578800
Falkland Islands,FLK,1955,2203
Morocco,MAR,1958,11578378
Czechia,CZE,1885,8446221
Egypt,EGY,1935,14725065
Benin,BEN,1861,846423
Malaysia,MYS,1872,841688
Burundi,BDI,2000,6378871
Guam,GUM,2017,164281
Burkina Faso,BFA,1862,1922757
North Korea,PRK,2017,25429816
Guinea,GIN,1842,1016558
Netherlands,NLD,1838,2833765
Somalia,SOM,1896,1528130
South Korea,KOR,1868,9542407
Bahamas,BHS,1837,27716
Croatia,HRV,1836,1412857
Zambia,ZMB,1819,996378
Djibouti,DJI,1842,34725
Czechia,CZE,1804,5516349
Ecuador,ECU,1956,4065328
Iraq,IRQ,1952,6065011
Grenada,GRD,1806,29409
United Arab Emirates,ARE,1938,61798
Qatar,QAT,1802,14092
Mauritania,MRT,1977,1411139
Sao Tome and Principe,STP,1886,36228
Chad,TCD,1974,3999918
Mexico,MEX,1960,37771861
Gibraltar,GIB,1986,29096
Tanzania,TZA,1996,30444523
Mauritania,MRT,1876,314025
Ireland,IRL,1822,7241288
North Korea,PRK,1935,8274231
Honduras,HND,1899,515389
Zimbabwe,ZWE,1942,2341569
China,CHN,1915,448998541
Congo,COG,1833,387092
Cambodia,KHM,1893,2732302
Serbia,SRB,1916,3331607
Chad,TCD,1862,1817939
Paraguay,PRY,1872,356680
Vanuatu,VUT,1927,54364
Sudan,SDN,1919,4968308
Ukraine,UKR,1953,38915814
Botswana,BWA,2009,1953495
Djibouti,DJI,1811,22848
Romania,ROU,1877,9540858
Iraq,IRQ,1848,1238890
Tanzania,TZA,2007,40681416
North Korea,PRK,1941,9134788
Slovenia,SVN,1901,959183
United Kingdom,GBR,1860,28969196
Laos,LAO,1843,584558
Vietnam,VNM,1916,18500780
Saudi Arabia,SAU,1806,2026876
Solomon Islands,SLB,1828,62125
Thailand,THA,2013,68144519
Philippines,PHL,1991,63454785
Belgium,BEL,1972,9692845
Timor,TLS,1837,171654
Lithuania,LTU,1904,2678230
Nicaragua,NIC,2009,5745538
Argentina,ARG,1950,17037910
Mauritius,MUS,1935,411169
China,CHN,1950,554419269
South Africa,ZAF,1813,1521524
Spain,ESP,1991,39299081
Latvia,LVA,1967,2314506
Sri Lanka,LKA,1852,2151987
Andorra,AND,1816,2654
North America,NA,1854,43057962
Kenya,KEN,1977,14638887
Belgium,BEL,2002,10364879
Kiribati,KIR,1940,31210
Barbados,BRB,1889,181956
Azerbaijan,AZE,1887,1624663
Armenia,ARM,2006,2958301
Mauritania,MRT,1862,299189
Bosnia and Herzegovina,BIH,1963,3417573
New Zealand,NZL,1990,3398175
Madagascar,MDG,1967,6073529
Turkey,TUR,1861,11474254
Bulgaria,BGR,1852,2508488
Afghanistan,AFG,1938,6642004
Grenada,GRD,1897,59446
Netherlands,NLD,1954,10569687
Sweden,SWE,1851,3496773
Uzbekistan,UZB,1905,4111765
Guinea,GIN,1895,1489789
Cote d'Ivoire,CIV,1872,1208497
Croatia,HRV,1870,1906546
Serbia,SRB,1826,2121327
China,CHN,1893,387111631
Zambia,ZMB,1859,1596913
Botswana,BWA,1837,105118
Cameroon,CMR,1912,2910580
Palau,PLW,2006,19545
Estonia,EST,2008,1340067
Niue,NIU,1966,5152
Afghanistan,AFG,1915,7923871
Samoa,WSM,1823,47115
Ecuador,ECU,1966,5399423
Egypt,EGY,1925,13016896
Zimbabwe,ZWE,2002,11954293
Tonga,TON,2006,101714
South Korea,KOR,1815,9395000
United States,USA,1898,75739298
Belize,BLZ,1853,25955
El Salvador,SLV,1907,983502
Bahrain,BHR,1890,72022
Marshall Islands,MHL,1887,28726
Saint Kitts and Nevis,KNA,1949,45370
Azerbaijan,AZE,1915,2099881
North America,NA,2004,507773688
Montenegro,MNE,1929,447867
Chile,CHL,1866,1861267
Romania,ROU,1996,22805706
South Korea,KOR,1908,9424460
Oman,OMN,1991,1893761
Niue,NIU,1954,4683
South Sudan,SSD,1910,2015262
Trinidad and Tobago,TTO,1986,1183382
Guatemala,GTM,1971,5780477
Slovakia,SVK,1908,2928636
Taiwan,TWN,1818,2010991
El Salvador,SLV,1885,700265
Rwanda,RWA,1837,1225623
New Zealand,NZL,2017,4702029
Martinique,MTQ,1963,300951
Chad,TCD,1936,2030150
Uzbekistan,UZB,1861,2783191
Luxembourg,LUX,1936,299608
Iraq,IRQ,1997,21439579
Bulgaria,BGR,1962,8022157
Kuwait,KWT,1902,99723
Romania,ROU,1852,8108622
Cote d'Ivoire,CIV,1944,2337904
Eswatini,SWZ,1911,130320
Netherlands,NLD,1976,13793110
Algeria,DZA,1956,10006145
Taiwan,TWN,1909,3173841
Palau,PLW,1950,7431
China,CHN,1985,1075589363
Burundi,BDI,1811,899097
Saint Pierre and Miquelon,SPM,1958,4886
Benin,BEN,1913,1337975
Venezuela,VEN,1905,2855894
North America,NA,1956,255200277
Cape Verde,CPV,1937,200970
Mexico,MEX,1867,9054486
Sao Tome and Principe,STP,1863,30799
Saint Kitts and Nevis,KNA,2001,44602
Liberia,LBR,1915,561900
Albania,ALB,1906,857164
Albania,ALB,1862,561438
Mali,MLI,1982,7388670
Malaysia,MYS,1906,2486279
Iraq,IRQ,1824,1112758
French Guiana,GUF,1988,104222
Panama,PAN,1969,1476481
Pakistan,PAK,1938,30040065
Tonga,TON,1998,97036
Thailand,THA,1967,33778804
Trinidad and Tobago,TTO,1962,879436
Albania,ALB,1876,642320
Belgium,BEL,1865,4913495
Congo,COG,1897,613198
Papua New Guinea,PNG,1886,957017
Austria,AUT,1912,6589531
Iran,IRN,1822,6618958
American Samoa,ASM,1981,33697
Singapore,SGP,1886,137810
Afghanistan,AFG,1877,4289851
British Virgin Islands,VGB,1968,9427
Uzbekistan,UZB,1825,2009014
Finland,FIN,1836,1409734
United Arab Emirates,ARE,1997,2671361
Brunei,BRN,1978,181201
Congo,COG,1866,528876
Nicaragua,NIC,1816,186000
Saint Lucia,LCA,1841,24000
Bolivia,BOL,1918,2283325
South Korea,KOR,1956,22227339
Malaysia,MYS,1913,2912576
Saint Barthlemy,NA,1984,3188
Nepal,NPL,1920,5414633
Egypt,EGY,1820,4179621
Gambia,GMB,1969,451228
Tanzania,TZA,1921,4855231
Honduras,HND,1851,351237
Jordan,JOR,1956,728205
Gibraltar,GIB,1993,28680
Brunei,BRN,1878,8280
Eswatini,SWZ,1885,93890
New Zealand,NZL,1973,2989412
Africa,NA,1984,533345151
Qatar,QAT,1803,14092
Cote d'Ivoire,CIV,1835,1060830
Botswana,BWA,1882,137708
Djibouti,DJI,1883,40731
Saudi Arabia,SAU,1939,2803412
Panama,PAN,1922,473954
Egypt,EGY,1826,4276727
United Arab Emirates,ARE,1918,52182
Gabon,GAB,2006,1430144
Australia,AUS,2000,18991434
Saint Kitts and Nevis,KNA,1935,38435
Kyrgyzstan,KGZ,1860,763476
Fiji,FJI,1840,139672
Cuba,CUB,1853,1247469
Mongolia,MNG,1888,683452
Eswatini,SWZ,1828,74255
Poland,POL,1950,24824007
United Arab Emirates,ARE,1958,84420
Monaco,MCO,1949,20236
Finland,FIN,1990,4996220
Mongolia,MNG,1977,1562207
Denmark,DNK,1928,3485654
Libya,LBY,1999,5275921
Eswatini,SWZ,1964,365120
Kuwait,KWT,1869,81774
Iraq,IRQ,1873,1661705
Denmark,DNK,1869,1868538
Burkina Faso,BFA,1836,1762325
Cameroon,CMR,2018,25216261
Djibouti,DJI,2003,759639
Pakistan,PAK,1917,20788561
Tunisia,TUN,1996,9267335
Estonia,EST,1961,1230504
Tanzania,TZA,1979,17976219
Bulgaria,BGR,1856,2525535
Mauritius,MUS,1807,71733
Somalia,SOM,1815,999540
Samoa,WSM,2015,193510
Solomon Islands,SLB,1814,56998
Senegal,SEN,1894,1320147
Democratic Republic of Congo,COD,2015,76244532
Cook Islands,COK,2000,17935
Yemen,YEM,1886,2875476
Samoa,WSM,1847,46923
Burundi,BDI,2012,9245992
Hong Kong,HKG,1800,20000
Cameroon,CMR,1811,1860054
Malaysia,MYS,1955,7038910
Myanmar,MMR,1988,40085653
Lithuania,LTU,1813,778655
Luxembourg,LUX,1904,244693
Antigua and Barbuda,ATG,1862,36514
Saint Lucia,LCA,1989,135787
Lesotho,LSO,1888,255071
Egypt,EGY,1950,20451988
Costa Rica,CRI,2014,4795390
Saint Vincent and the Grenadines,VCT,1823,26175
Latvia,LVA,1999,2408088
Niger,NER,1890,1234792
Suriname,SUR,2000,470944
Austria,AUT,1856,4119272
South America,NA,1908,48624026
Suriname,SUR,1964,320267
South Sudan,SSD,2020,11193729
United Kingdom,GBR,1995,57932450
San Marino,SMR,1954,13532
Liberia,LBR,1804,313542
Israel,ISR,1882,284734
Philippines,PHL,1947,17215470
Bulgaria,BGR,1869,2588338
Algeria,DZA,1946,8337943
Seychelles,SYC,1933,30980
Libya,LBY,1817,233824
Benin,BEN,1947,2142211
Japan,JPN,1820,30925444
Solomon Islands,SLB,2006,481086
Guinea,GIN,1809,983959
Turks and Caicos Islands,TCA,1930,411
Laos,LAO,1904,1352411
Sri Lanka,LKA,2018,21228760
Bolivia,BOL,1815,1042499
Panama,PAN,1988,2368556
Niger,NER,1983,6528646
Ireland,IRL,1972,2986566
Equatorial Guinea,GNQ,1995,496768
Paraguay,PRY,1848,330019
Anguilla,AIA,1987,7842
Iceland,ISL,1830,59173
Finland,FIN,1819,1146610
Sierra Leone,SLE,2009,6272735
Cape Verde,CPV,2014,518275
Madagascar,MDG,1838,2200996
Saint Pierre and Miquelon,SPM,2009,6343
Moldova,MDA,1964,3276431
Saint Kitts and Nevis,KNA,1874,42141
Oman,OMN,1947,448204
Singapore,SGP,1820,30381
Marshall Islands,MHL,2003,53465
Lebanon,LBN,1897,488127
Thailand,THA,1961,28224186
Nepal,NPL,1894,5103074
Montserrat,MSR,1979,11665
Netherlands Antilles,ANT,2010,311534
Guinea-Bissau,GNB,1866,225648
Puerto Rico,PRI,1810,190325
Europe,NA,1864,306830713
Cuba,CUB,1998,11038706
Comoros,COM,1994,462280
Sweden,SWE,1831,2898343
Turkmenistan,TKM,1963,1773854
Cyprus,CYP,1947,478770
Benin,BEN,1890,1104082
Vanuatu,VUT,1821,28121
Austria,AUT,2014,8615205
Mexico,MEX,1942,21430746
Cyprus,CYP,2018,1189262
Argentina,ARG,1864,1481646
Liechtenstein,LIE,1951,13945
Yemen,YEM,1954,4900843
Hong Kong,HKG,1856,53676
Central African Republic,CAF,2009,4337623
Cook Islands,COK,2019,17547
Cyprus,CYP,1836,185114
Bolivia,BOL,1854,1405879
Taiwan,TWN,1921,3687039
Slovakia,SVK,1887,2721762
Netherlands,NLD,1963,11928359
Liechtenstein,LIE,2001,33543
Pakistan,PAK,1862,15525707
Democratic Republic of Congo,COD,1854,8238883
Saint Kitts and Nevis,KNA,2002,45168
Kuwait,KWT,1995,1605907
Cambodia,KHM,1897,2807199
New Zealand,NZL,1890,661529
United States,USA,1995,265163740
Niger,NER,1985,6915994
India,IND,1893,286795490
Mongolia,MNG,1993,2263196
Turkey,TUR,2006,68756809
Democratic Republic of Congo,COD,1960,15248256
Oceania,NA,1864,2899226
Gabon,GAB,1994,1057252
Vatican,VAT,1883,908
Poland,POL,1945,26713772
Djibouti,DJI,1905,42754
China,CHN,1986,1095014106
Marshall Islands,MHL,1963,16111
Malta,MLT,1875,186353
Bahrain,BHR,1918,109692
Malawi,MWI,1861,2149681
Australia,AUS,2021,25788217
Bhutan,BTN,1896,274531
Paraguay,PRY,1892,597321
Gambia,GMB,1909,177830
Mexico,MEX,1879,10195232
Fiji,FJI,1835,138780
Bangladesh,BGD,1992,107983708
North Macedonia,MKD,2010,2070737
Eritrea,ERI,1856,682927
Djibouti,DJI,1922,45083
Morocco,MAR,1851,2880727
Monaco,MCO,1964,23236
Chile,CHL,1918,3931976
Niger,NER,2006,14143969
South Africa,ZAF,1882,4333933
Indonesia,IDN,1861,24474147
Argentina,ARG,1874,2034917
Andorra,AND,1970,24275
Estonia,EST,1887,746847
Dominica,DMA,1953,52941
Mali,MLI,1843,1478800
Pakistan,PAK,1847,14918344
Brazil,BRA,1996,164614682
Panama,PAN,2003,3209056
Papua New Guinea,PNG,1929,750009
United States,USA,1978,225223307
Cuba,CUB,1836,1008000
Bhutan,BTN,1843,349633
Iran,IRN,1825,6708191
Hungary,HUN,1833,4558946
Albania,ALB,1801,401773
Grenada,GRD,1800,29409
North Macedonia,MKD,1861,563474
Oman,OMN,1871,359285
Vatican,VAT,1984,733
Ghana,GHA,1845,1986836
Guinea,GIN,1906,1628436
Uganda,UGA,1931,3782541
Haiti,HTI,1985,6337275
Moldova,MDA,1858,1007404
Gabon,GAB,1863,322494
Palestine,PSE,1976,1363618
Lesotho,LSO,1964,903757
Tunisia,TUN,2012,10846993
Papua New Guinea,PNG,1821,755236
Sierra Leone,SLE,1907,1174311
Botswana,BWA,1915,209336
Russia,RUS,1896,62630729
Madagascar,MDG,1907,2650660
World,OWID_WRL,1839,1217612799
Slovakia,SVK,1822,2156585
Tajikistan,TJK,1829,506655
Mongolia,MNG,1962,1011327
South Sudan,SSD,1975,3941613
Argentina,ARG,1849,1058278
Madagascar,MDG,2006,18880265
Estonia,EST,1920,1104588
Somalia,SOM,1945,2092544
Turks and Caicos Islands,TCA,2012,34067
Switzerland,CHE,1911,3717621
Guatemala,GTM,1850,846846
Uruguay,URY,1820,55987
Armenia,ARM,1915,969734
Netherlands,NLD,2000,15926188
Montenegro,MNE,1859,232294
Bulgaria,BGR,1814,2205717
Azerbaijan,AZE,1844,1095750
Marshall Islands,MHL,1863,15974
Sweden,SWE,1885,4678351
Taiwan,TWN,1975,16464929
Congo,COG,2014,4736965
Suriname,SUR,1825,81455
Guatemala,GTM,2000,11650744
Palestine,PSE,1924,385249
Italy,ITA,1866,27080708
Honduras,HND,1857,370885
Sierra Leone,SLE,1801,794264
Barbados,BRB,1877,168979
Dominican Republic,DOM,1896,467650
Faeroe Islands,FRO,1820,2478
Dominica,DMA,1865,25914
Kiribati,KIR,1968,49354
Andorra,AND,1905,4792
Ukraine,UKR,1935,32409215
Israel,ISR,1977,3472118
Europe,NA,1949,545975196
Bolivia,BOL,1893,1552166
Lebanon,LBN,1972,2417837
Nepal,NPL,1988,18020755
Rwanda,RWA,1927,1511467
Indonesia,IDN,1980,147447834
Sri Lanka,LKA,1920,5518348
Seychelles,SYC,1837,13290
French Guiana,GUF,1971,49619
Spain,ESP,1881,16951519
Chad,TCD,1857,1805209
Paraguay,PRY,2020,7132530
Malta,MLT,2012,421809
Bahrain,BHR,1938,118233
Liechtenstein,LIE,1808,5802
Kazakhstan,KAZ,1886,3695350
Algeria,DZA,2009,35333882
Grenada,GRD,1972,93984
Russia,RUS,1897,63201856
Malaysia,MYS,1904,2364764
Sweden,SWE,1859,3786142
Micronesia (country),FSM,1842,18252
Slovakia,SVK,1831,2229632
Lithuania,LTU,1863,1464552
Martinique,MTQ,2019,375557
Barbados,BRB,1845,124969
Ukraine,UKR,1902,23918205
New Zealand,NZL,1941,1656639
Bahamas,BHS,1902,58262
Cape Verde,CPV,1879,111892
Colombia,COL,1927,7567087
Iceland,ISL,1970,204423
Madagascar,MDG,1996,13902697
Mali,MLI,1805,1403398
Guatemala,GTM,1840,710389
Botswana,BWA,1828,108779
Belize,BLZ,1803,25526
Montserrat,MSR,1993,10598
Panama,PAN,1913,355272
Montserrat,MSR,1800,8881
Turks and Caicos Islands,TCA,2004,26709
Bosnia and Herzegovina,BIH,1828,894738
Malta,MLT,1968,321762
Nicaragua,NIC,1991,4267570
Mali,MLI,1940,3982561
New Zealand,NZL,1971,2870817
Belize,BLZ,1982,151486
Bahamas,BHS,1839,27760
Sudan,SDN,1977,13034631
Bangladesh,BGD,1847,22425248
Andorra,AND,2003,73180
Tokelau,TKL,2021,1368
Maldives,MDV,1975,136418
Haiti,HTI,1852,958452
North America,NA,1941,192330307
Paraguay,PRY,1903,471434
Honduras,HND,1966,2414805
Niue,NIU,1980,3401
Montserrat,MSR,1989,10623
Saint Helena,SHN,2015,5869
Colombia,COL,1989,32457497
Asia,NA,1904,973734587
Saint Kitts and Nevis,KNA,1802,17202
Bulgaria,BGR,1806,2230912
Saint Barthlemy,NA,2016,9745
French Guiana,GUF,2019,290823
Cote d'Ivoire,CIV,1930,1893001
Bangladesh,BGD,1933,30164276
Benin,BEN,1959,2400129
North Macedonia,MKD,1949,1242400
Grenada,GRD,1918,65586
Estonia,EST,1871,616521
Egypt,EGY,1858,6114102
Turkmenistan,TKM,1898,745840
Laos,LAO,2019,7169456
South America,NA,1876,26159790
Taiwan,TWN,1856,2236944
Tuvalu,TUV,1813,2499
South Korea,KOR,1955,21514564
Algeria,DZA,1873,3566379
United Kingdom,GBR,1988,56812754
Estonia,EST,2012,1323163
Belarus,BLR,1968,8754200
Haiti,HTI,1947,3098521
South Sudan,SSD,1888,1680786
Sudan,SDN,1876,4812079
Gabon,GAB,2012,1749677
Sweden,SWE,1879,4528087
Germany,DEU,1980,78283101
North America,NA,1863,52916872
Djibouti,DJI,1890,41021
Afghanistan,AFG,1988,11618008
Canada,CAN,1973,22415313
Finland,FIN,1981,4809807
Tajikistan,TJK,1870,734110
Seychelles,SYC,1997,78357
North Korea,PRK,1991,20609151
Tonga,TON,1852,18574
Solomon Islands,SLB,1978,215299
Europe,NA,1981,697202619
Cayman Islands,CYM,1955,6668
Turks and Caicos Islands,TCA,1952,4982
Portugal,PRT,1824,3373382
